11,21 4 6 21 
115,5 4 5 
118,5 4 5 
12,4 3 6 7 
123,5 4 5 
142,3 4 6 7 
15,4 7 8 28 8 
170,3 4 5 
183,24 6 18 41 24 28 
188,6 5 6 
200,7 6 7 
224,5 6 7 
227,5 3 6 7 
252,8 36 24 81 4 7 43 99 100 10 44 100 
253,8 28 40 49 88 4 7 48 10 50 62 
261,3 5 6 15 6 
269,5 7 11 7 8 
27,3 5 6 
273,5 6 13 8 10 
285,5 4 5 
297,7 6 7 
31,3 6 7 
311,4 6 6 7 
312,4 4 14 
32,7 14 21 28 6 13 20 27 8 15 22 29 
326,6 7 14 9 11 
327,8 10 11 
330,7 4 7 
333,5 4 5 
339,5 6 13 8 10 
34,4 6 7 
348,6 9 11 
362,5 4 5 
363,12 11 13 
364,6 4 6 
377,5 6 7 
383,4 5 6 
413,3 4 5 
415,3 4 5 
419,3 4 5 
421,8 4 7 8 
429,3 3 5 6 7 9 9 
431,5 6 13 8 10 
436,5 6 13 8 10 
442,5 6 7 7 
454,4 12 7 9 
463,5 8 10 
466,6 9 11 
468,6 7 14 9 11 
478,3 4 5 
487,4 5 6 
488,3 4 5 
489,3 4 5 
524,14 18 8 24 25 26 25 
527,10 9 10 
53,9 8 9 
538,3 4 6 12 
55,8 4 9 10 
67,4 5 6 
84,9 6 10 11 
85,5 4 6 
94,9 33 5 10 34 11 37 
